timestamp,slug,question,outcome,token_id,price,volume
2026-02-27 23:00:41+00:00,lol-ly-tl2-2026-02-27-game1-kill-over-30pt5,Total Kills Over/Under 30.5 in Game 1?,Over,4149286649958507242046522457074613147768495821827206093074341983629984903712,0.0045,999.99
2026-02-28 00:00:47+00:00,lol-ly-tl2-2026-02-27-game1-kill-over-30pt5,Total Kills Over/Under 30.5 in Game 1?,Over,4149286649958507242046522457074613147768495821827206093074341983629984903712,0.0005,999.99
2026-03-02 18:00:52+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-02 19:00:31+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.51,999.99
2026-03-02 20:00:31+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.51,999.99
2026-03-02 21:00:31+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-02 22:00:30+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-02 23:00:27+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-03 00:00:41+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-03 01:00:28+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-03 02:00:41+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-03 03:00:34+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-03 04:00:28+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-03 05:00:28+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-03 06:00:38+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-03 07:00:30+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-03 08:00:29+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-03 09:00:32+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-03 10:00:29+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
